,1p.prs,1p.pst,3p.prs,3p.pst,count
1944,collate,collated,collates,collated,319919
1945,collect,collected,collects,collected,15943314
1946,sensitize,sensitized,sensitizes,sensitized,94281
1947,collectivize,collectivized,collectivizes,collectivized,0
1948,sentence,sentenced,sentences,sentenced,14359872
1949,collide,collided,collides,collided,984371
1950,sentimentalize,sentimentalized,sentimentalizes,sentimentalized,0
1951,collocate,collocated,collocates,collocated,19871
1952,separate,separated,separates,separated,36138447
1953,collude,colluded,colludes,colluded,59452
1954,colonize,colonized,colonizes,colonized,168321
1955,sequester,sequestered,sequesters,sequestered,0
1956,sequestrate,sequestrated,sequestrates,sequestrated,0
1957,colour,coloured,colours,coloured,0
1958,serenade,serenaded,serenades,serenaded,0
1959,serialize,serialized,serializes,serialized,303385
1960,comb,combed,combs,combed,0
1961,combat,combatted,combats,combatted,0
1962,sermonize,sermonized,sermonizes,sermonized,0
1963,serrate,serrated,serrates,serrated,44979
1964,combine,combined,combines,combined,13139084
1965,serve,served,serves,served,36697856
1966,service,serviced,services,serviced,0
1967,combust,combusted,combusts,combusted,0
1968,come,came,comes,came,154326119
1969,set,set,sets,set,313469591
1970,settle,settled,settles,settled,6326394
1971,comfort,comforted,comforts,comforted,0
1972,sever,severed,severs,severed,686306
1973,sew,sewed,sews,sewed,1756454
1974,command,commanded,commands,commanded,59870370
1975,sex,sexed,sexes,sexed,0
1976,commandeer,commandeered,commandeers,commandeered,0
1977,commemorate,commemorated,commemorates,commemorated,0
1978,commence,commenced,commences,commenced,0
1979,commend,commended,commends,commended,1079537
1980,comment,commented,comments,commented,0
1981,commentate,commentated,commentates,commentated,0
1982,commercialize,commercialized,commercializes,commercialized,0
1983,shackle,shackled,shackles,shackled,296852
1984,commingle,commingled,commingles,commingled,0
1985,shade,shaded,shades,shaded,0
1986,shadow,shadowed,shadows,shadowed,0
1987,commission,commissioned,commissions,commissioned,0
1988,shadowbox,shadowboxed,shadowboxes,shadowboxed,0
1989,commit,committed,commits,committed,17298630
1990,shaft,shafted,shafts,shafted,0
1991,shag,shagged,shags,shagged,0
1992,shake,shook,shakes,shook,6839319
1993,shall,should,shall,should,191963867
1994,shallow,shallowed,shallows,shallowed,4834372
1995,commune,communed,communes,communed,0
1996,sham,shammed,shams,shammed,1600637
1997,shamble,shambled,shambles,shambled,18772
1998,communicate,communicated,communicates,communicated,12992824
1999,shame,shamed,shames,shamed,0
2000,shampoo,shampooed,shampoos,shampooed,0
2001,shanghai,shanghaied,shanghais,shanghaied,7850915
2002,commutate,commutated,commutates,commutated,0
2003,commute,commuted,commutes,commuted,0
2004,compact,compacted,compacts,compacted,25317344
2005,shape,shaped,shapes,shaped,0
2006,share,shared,shares,shared,0
2007,compare,compared,compares,compared,183202885
2008,compartmentalize,compartmentalized,compartmentalizes,compartmentalized,31222
2009,sharpen,sharpened,sharpens,sharpened,776397
2010,compass,compassed,compasses,compassed,0
2011,shatter,shattered,shatters,shattered,0
2012,compel,compelled,compels,compelled,1042085
2013,shave,shaved,shaves,shaved,2580057
2014,compensate,compensated,compensates,compensated,2529651
2015,compere,compered,comperes,compered,86749
2016,compete,competed,competes,competed,9245630
2017,shear,sheared,shears,sheared,0
2018,sheathe,sheathed,sheathes,sheathed,0
2019,compile,compiled,compiles,compiled,0
2020,shed,shed,sheds,shed,6720397
2021,complain,complained,complains,complained,4585812
2022,sheer,sheered,sheers,sheered,6684477
2023,complement,complemented,complements,complemented,0
2024,complete,completed,completes,completed,149312237
2025,complicate,complicated,complicates,complicated,627501
2026,shell,shelled,shells,shelled,20599318
2027,shellac,shellacked,shellacs,shellacked,181983
2028,compliment,complimented,compliments,complimented,0
2029,comply,complied,complies,complied,12868396
2030,shelter,sheltered,shelters,sheltered,0
2031,shelve,shelved,shelves,shelved,141404
2032,comport,comported,comports,comported,144624
2033,compose,composed,composes,composed,2311784
2034,shepherd,shepherded,shepherds,shepherded,0
2035,compost,composted,composts,composted,0
2036,compound,compounded,compounds,compounded,0
2037,shew,shewed,shews,shewed,0
